DATE,QMYR628BIS
1988-01-01,59.47
1988-04-01,59.61
1988-07-01,60.79
1988-10-01,60.97
1989-01-01,61.29
1989-04-01,61.33
1989-07-01,61.17
1989-10-01,60.49
1990-01-01,60.44
1990-04-01,60.01
1990-07-01,60.63
1990-10-01,65.3
1991-01-01,69.63
1991-04-01,74.11
1991-07-01,75.92
1991-10-01,76.67
1992-01-01,78.0
1992-04-01,79.53
1992-07-01,79.89
1992-10-01,79.9
1993-01-01,80.06
1993-04-01,80.22
1993-07-01,80.33
1993-10-01,80.68
1994-01-01,81.82
1994-04-01,81.61
1994-07-01,83.7
1994-10-01,87.46
1995-01-01,91.28
1995-04-01,94.53
1995-07-01,97.26
1995-10-01,99.54
1996-01-01,102.05
1996-04-01,104.23
1996-07-01,105.44
1996-10-01,105.73
1997-01-01,106.33
1997-04-01,106.37
1997-07-01,103.65
1997-10-01,98.3
1998-01-01,94.35
1998-04-01,89.78
1998-07-01,86.64
1998-10-01,86.06
1999-01-01,83.62
1999-04-01,83.84
1999-07-01,85.11
1999-10-01,86.33
2000-01-01,86.23
2000-04-01,88.66
2000-07-01,89.13
2000-10-01,88.83
2001-01-01,87.3
2001-04-01,87.93
2001-07-01,88.83
2001-10-01,88.43
2002-01-01,87.58
2002-04-01,88.53
2002-07-01,89.73
2002-10-01,91.07
2003-01-01,90.55
2003-04-01,90.28
2003-07-01,93.12
2003-10-01,93.3
2004-01-01,94.41
2004-04-01,94.29
2004-07-01,94.06
2004-10-01,93.61
2005-01-01,93.88
2005-04-01,94.63
2005-07-01,93.41
2005-10-01,93.0
2006-01-01,92.63
2006-04-01,92.13
2006-07-01,92.06
2006-10-01,94.47
2007-01-01,94.62
2007-04-01,94.78
2007-07-01,95.28
2007-10-01,95.09
2008-01-01,96.25
2008-04-01,94.2
2008-07-01,92.25
2008-10-01,91.99
2009-01-01,93.33
2009-04-01,95.34
2009-07-01,96.27
2009-10-01,96.85
2010-01-01,96.86
2010-04-01,99.88
2010-07-01,100.8
2010-10-01,102.42
2011-01-01,103.16
2011-04-01,105.12
2011-07-01,107.08
2011-10-01,110.37
2012-01-01,113.65
2012-04-01,117.25
2012-07-01,119.62
2012-10-01,124.53
2013-01-01,124.3
2013-04-01,128.4
2013-07-01,132.6
2013-10-01,132.25
2014-01-01,132.42
2014-04-01,136.83
2014-07-01,140.11
2014-10-01,139.79
2015-01-01,143.64
2015-04-01,143.47
2015-07-01,145.44
2015-10-01,145.07
2016-01-01,148.92
2016-04-01,150.78
2016-07-01,153.3
2016-10-01,152.7
2017-01-01,152.53
2017-04-01,155.11
2017-07-01,157.53
2017-10-01,156.5
2018-01-01,156.3
2018-04-01,158.68
2018-07-01,161.07
2018-10-01,159.96
2019-01-01,160.71
2019-04-01,159.07
